iter	MAE
0	3.160914919
1	3.066244119
2	2.974856247
3	2.891930675
4	2.818918921
5	2.751922287
6	2.69099753
7	2.633700937
8	2.584748262
9	2.539133342
10	2.498783651
11	2.462293746
12	2.431215562
13	2.406835509
14	2.383634525
15	2.358838731
16	2.34092945
17	2.321579162
18	2.302841053
19	2.291076284
20	2.279708743
21	2.265150358
22	2.251721939
23	2.241346641
24	2.232335904
25	2.223911502
26	2.214749089
27	2.206704657
28	2.198609713
29	2.192439617
30	2.185461034
31	2.17857777
32	2.172002192
33	2.164920697
34	2.159831909
35	2.154063593
36	2.148920599
37	2.143889061
38	2.138675533
39	2.133606588
40	2.12835834
41	2.122876145
42	2.118409059
43	2.113639579
44	2.109134846
45	2.104704056
46	2.10132617
47	2.096984349
48	2.093923619
49	2.089847764
50	2.086394869
51	2.083367368
52	2.079323522
53	2.077217569
54	2.073898451
55	2.071264379
56	2.068357487
57	2.065740503
58	2.063194289
59	2.060810493
60	2.057940506
61	2.05559441
62	2.052736375
63	2.050083605
64	2.047083944
65	2.044397427
66	2.041649197
67	2.039349685
68	2.037213592
69	2.035150572
70	2.032605252
71	2.030114122
72	2.027781692
73	2.025233884
74	2.023016035
75	2.020796523
76	2.018638379
77	2.016510312
78	2.015047183
79	2.013111974
80	2.010963236
81	2.009169252
82	2.006755818
83	2.004499701
84	2.002609151
85	2.000241748
86	1.998589471
87	1.996992523
88	1.995044173
89	1.99289644
90	1.99092947
91	1.98947093
92	1.987376974
93	1.98586302
94	1.984028081
95	1.982156713
96	1.98025466
97	1.978232379
98	1.976168952
99	1.974589932
100	1.972687447
101	1.970808816
102	1.968681665
103	1.966909859
104	1.965275209
105	1.963739783
106	1.962376263
107	1.960491625
108	1.958423433
109	1.956729528
110	1.955062597
111	1.953431867
112	1.951499588
113	1.949946896
114	1.947575145
115	1.945863418
116	1.944058884
117	1.942739791
118	1.941173053
119	1.939327066
120	1.937518583
121	1.935385448
122	1.933788589
123	1.932325716
124	1.930184307
125	1.927947584
126	1.926445904
127	1.924548733
128	1.922389465
129	1.920642124
130	1.918881338
131	1.917109092
132	1.915637963
133	1.913474735
134	1.912022898
135	1.9100465
136	1.908716467
137	1.907268343
138	1.905820215
139	1.904357992
140	1.902944096
141	1.901352261
142	1.900230044
143	1.898831311
144	1.897095933
145	1.895127779
146	1.893329835
147	1.892134352
148	1.890839614
149	1.889523083
150	1.888025063
151	1.886569136
152	1.884981287
153	1.883207519
154	1.881753019
155	1.880163848
156	1.879110524
157	1.877493436
158	1.876022668
159	1.874893657
160	1.87367817
161	1.872575937
162	1.871744264
163	1.870331133
164	1.869053036
165	1.86748538
166	1.866468161
167	1.865267414
168	1.863523754
169	1.862389538
170	1.861042063
171	1.859955038
172	1.858881642
173	1.858017044
174	1.856794606
175	1.85562929
176	1.854225639
177	1.853208522
178	1.851946529
179	1.850949167
180	1.84974925
181	1.8484942
182	1.847336134
183	1.846248727
184	1.844992968
185	1.843754147
186	1.842557456
187	1.841548402
188	1.840439974
189	1.83920605
190	1.838106123
191	1.837251076
192	1.836161715
193	1.834897082
194	1.833975975
195	1.833025553
196	1.83197485
197	1.830837185
198	1.829903375
199	1.828403539
200	1.827382334
201	1.825926677
202	1.824867866
203	1.823783303
204	1.822968354
205	1.821758099
206	1.820711623
207	1.819594395
208	1.818762699
209	1.817969956
210	1.817242718
211	1.816234371
212	1.81522681
213	1.81379035
214	1.812713811
215	1.811750613
216	1.810871775
217	1.809804114
218	1.80911319
219	1.808450582
220	1.807533553
221	1.80653018
222	1.805782056
223	1.804713072
224	1.803945195
225	1.803174678
226	1.802314507
227	1.800902264
228	1.799826673
229	1.799303167
230	1.798362393
231	1.797453391
232	1.796511742
233	1.795353934
234	1.794401981
235	1.793594127
236	1.792408364
237	1.791704922
238	1.790699584
239	1.789838208
240	1.788401674
241	1.787586425
242	1.786834841
243	1.786052408
244	1.785384648
245	1.784518854
246	1.783738982
247	1.782748826
248	1.781934098
249	1.781127004
250	1.779969185
251	1.779273353
252	1.77859485
253	1.777922397
254	1.776856649
255	1.775914008
256	1.775198331
257	1.77420515
258	1.773326312
259	1.772541868
260	1.771579972
261	1.770817941
262	1.770070629
263	1.76884609
264	1.768033373
265	1.767221241
266	1.766288046
267	1.765594911
268	1.764709674
269	1.763621658
270	1.763028137
271	1.76215513
272	1.761185587
273	1.760207431
274	1.759373542
275	1.758495358
276	1.757836677
277	1.7572126
278	1.756461172
279	1.755741002
280	1.754947584
281	1.754336354
282	1.753671277
283	1.752976518
284	1.752307109
285	1.751604658
286	1.7508008
287	1.75004168
288	1.749361546
289	1.748484509
290	1.747449476
291	1.746742204
292	1.745984957
293	1.745184796
294	1.74439021
295	1.743421015
296	1.742418959
297	1.741570052
298	1.740885953
299	1.740319565
300	1.739723521
301	1.738924529
302	1.738177199
303	1.73754884
304	1.737118763
305	1.736322483
306	1.735822878
307	1.735027984
308	1.734026906
309	1.733635141
310	1.732887376
311	1.731971962
312	1.731216905
313	1.730494089
314	1.730066422
315	1.729475527
316	1.728790146
317	1.728271579
318	1.727788698
319	1.727018067
320	1.726378556
321	1.725851973
322	1.725278059
323	1.72470225
324	1.724115538
325	1.723491011
326	1.72276028
327	1.721965587
328	1.721347638
329	1.720394691
330	1.719752118
331	1.719081735
332	1.718421172
333	1.717626614
334	1.716976427
335	1.716384294
336	1.715804354
337	1.714989763
338	1.714353374
339	1.713788653
340	1.712951259
341	1.712195212
342	1.711431344
343	1.710872091
344	1.71029246
345	1.709945858
346	1.70934041
347	1.708800453
348	1.708188573
