iter	Passed	Remaining
0	87	87196
1	103	51832
2	119	39629
3	135	33681
4	150	29921
5	165	27430
6	181	25754
7	196	24388
8	213	23456
9	229	22693
10	246	22148
11	261	21547
12	278	21124
13	293	20705
14	328	21571
15	344	21182
16	359	20790
17	374	20411
18	400	20670
19	415	20349
20	429	20026
21	444	19743
22	458	19490
23	473	19247
24	487	18999
25	501	18792
26	516	18612
27	531	18434
28	545	18272
29	560	18113
30	574	17965
31	589	17833
32	604	17703
33	619	17590
34	633	17472
35	647	17338
36	661	17226
37	676	17127
38	690	17021
39	704	16911
40	718	16814
41	733	16734
42	749	16685
43	764	16611
44	779	16548
45	794	16482
46	809	16422
47	825	16363
48	838	16283
49	854	16228
50	867	16147
51	881	16075
52	897	16029
53	911	15964
54	926	15916
55	940	15857
56	954	15789
57	968	15736
58	982	15667
59	997	15624
60	1011	15565
61	1025	15511
62	1038	15451
63	1053	15407
64	1067	15360
65	1081	15310
66	1096	15269
67	1110	15226
68	1126	15196
69	1140	15158
70	1155	15121
71	1169	15076
72	1183	15030
73	1198	14994
74	1212	14953
75	1227	14919
76	1241	14879
77	1255	14837
78	1269	14798
79	1284	14775
80	1300	14754
81	1315	14729
82	1331	14708
83	1347	14694
84	1362	14668
85	1377	14642
86	1391	14606
87	1405	14568
88	1420	14536
89	1435	14510
90	1449	14480
91	1463	14441
92	1478	14414
93	1492	14388
94	1506	14354
95	1521	14324
96	1536	14299
97	1550	14273
98	1564	14241
99	1578	14210
100	1592	14176
101	1606	14145
102	1620	14115
103	1634	14085
104	1650	14064
105	1664	14039
106	1678	14007
107	1692	13982
108	1706	13953
109	1720	13923
110	1735	13898
111	1749	13870
112	1763	13840
113	1776	13809
114	1791	13787
115	1806	13766
116	1821	13743
117	1835	13717
118	1849	13689
119	1862	13661
120	1877	13639
121	1891	13615
122	1905	13587
123	1920	13568
124	1935	13546
125	1949	13525
126	1963	13499
127	1978	13477
128	1993	13456
129	2007	13435
130	2021	13410
131	2035	13387
132	2050	13366
133	2066	13352
134	2080	13330
135	2094	13306
136	2108	13281
137	2122	13257
138	2136	13235
139	2150	13211
140	2165	13190
141	2179	13167
142	2193	13146
143	2208	13126
144	2222	13106
145	2237	13086
146	2251	13066
147	2265	13043
148	2279	13021
149	2293	12998
150	2308	12978
151	2322	12957
152	2336	12937
153	2350	12911
154	2364	12892
155	2379	12876
156	2395	12860
157	2410	12847
158	2426	12832
159	2441	12815
160	2456	12802
161	2471	12782
162	2484	12756
163	2499	12739
164	2513	12718
165	2528	12701
166	2542	12680
167	2555	12658
168	2572	12647
169	2588	12637
170	2603	12622
171	2619	12610
172	2636	12603
173	2653	12597
174	2671	12593
175	2688	12588
176	2709	12598
177	2733	12620
178	2751	12621
179	2770	12622
180	2790	12628
181	2806	12612
182	2820	12592
183	2835	12573
184	2851	12562
185	2867	12548
186	2884	12540
187	2901	12530
188	2916	12514
189	2931	12497
190	2945	12477
191	2960	12458
192	2973	12435
193	2988	12414
194	3002	12393
195	3016	12373
196	3030	12354
197	3044	12332
198	3059	12312
199	3073	12295
200	3088	12278
201	3103	12260
202	3117	12241
203	3133	12225
204	3157	12244
205	3177	12248
206	3193	12234
207	3208	12215
208	3221	12194
209	3235	12173
210	3249	12152
211	3263	12130
212	3279	12116
213	3301	12125
214	3330	12159
215	3358	12189
216	3377	12187
217	3399	12195
218	3417	12187
219	3435	12179
220	3452	12169
221	3470	12163
222	3490	12163
223	3512	12166
224	3533	12172
225	3555	12175
226	3573	12169
227	3592	12164
228	3611	12160
229	3626	12142
230	3646	12138
231	3664	12130
232	3684	12128
233	3706	12132
234	3730	12142
235	3754	12153
236	3771	12142
237	3787	12126
238	3802	12108
239	3818	12091
240	3835	12079
241	3850	12061
242	3870	12058
243	3892	12060
244	3920	12082
245	3939	12073
246	3957	12065
247	3976	12057
248	3993	12045
249	4011	12033
250	4043	12066
251	4069	12077
252	4087	12069
253	4105	12057
254	4123	12047
255	4140	12032
256	4154	12012
257	4178	12016
258	4196	12006
259	4211	11987
260	4227	11968
261	4242	11950
262	4258	11933
263	4275	11919
264	4290	11900
265	4305	11880
266	4319	11859
267	4334	11837
268	4352	11828
269	4369	11814
270	4384	11795
271	4400	11778
272	4416	11762
273	4433	11746
274	4448	11727
275	4462	11705
276	4477	11685
277	4491	11664
278	4505	11644
279	4520	11623
280	4534	11603
281	4549	11583
282	4565	11567
283	4581	11550
284	4598	11536
285	4617	11527
286	4639	11527
287	4661	11523
288	4677	11508
289	4695	11496
290	4712	11482
291	4728	11464
292	4744	11447
293	4760	11430
294	4775	11412
295	4792	11397
296	4810	11385
297	4828	11373
298	4845	11360
299	4863	11347
300	4883	11340
301	4901	11328
302	4919	11315
303	4937	11304
304	4955	11291
305	4973	11280
306	4991	11267
307	5007	11251
308	5024	11234
309	5038	11213
310	5053	11195
311	5068	11176
312	5083	11156
313	5097	11136
314	5111	11114
315	5126	11096
316	5141	11077
317	5155	11057
318	5170	11037
319	5184	11017
320	5199	10998
321	5216	10982
322	5231	10965
323	5247	10947
324	5261	10928
325	5278	10912
326	5293	10895
327	5310	10879
328	5325	10862
329	5341	10845
330	5357	10828
331	5372	10809
332	5387	10791
333	5402	10772
334	5416	10752
335	5430	10732
336	5445	10713
337	5460	10694
338	5474	10674
339	5488	10655
340	5504	10638
341	5519	10619
342	5533	10599
343	5548	10580
344	5562	10561
345	5577	10542
346	5592	10523
347	5606	10503
348	5621	10485
349	5635	10466
350	5651	10449
351	5665	10430
352	5680	10411
353	5695	10393
354	5709	10373
355	5724	10356
356	5740	10338
357	5755	10321
358	5771	10305
359	5786	10287
360	5802	10271
361	5819	10255
362	5833	10237
363	5848	10218
364	5863	10200
365	5878	10182
366	5892	10163
367	5907	10146
368	5922	10127
